"WHAT"	what
(2h)alt.ICL:"drinking"++ (2h)alt.EAT+ SOCIALIZE 1p:MEET-distributive-3p-pl-arc ALL-NIGHT 	There were drinks, food, and socializing.  I met many people. It went all night. 
CHOCOLATE fs-JOHN GIFT:i MOTHERwg IX-3p:i 	John is giving mother chocolate.
fs-JOHN SEE THROW APPLE WHO fs-MARY 	Who did John see throw the apple? Mary.
REALLY IX-3p:i POSS-3p:i WIFE INVITE REPORTER GO POSS-3p:i HOUSE 	His wife invited reporter over their house.
FATHER IX-3p:i !MUST! GIFT:k fs-JOHN CAR 	His father MUST give John a car.
#FUN GOOD TIME ALL-DAY BREAK 	It was fun all day and we had a good time.  Then we decided to take a break.
PEOPLE ACTION 	 people, and action.
fs-JOHN NOT VISIT fs-MARY VISIT MOTHER IX-3p 	John is not visiting Mary.  (He) is visiting (his) Mother.
SCREAM #SO IX-3p-arc DEAF CAN-NOT HEAR BACK 	The person behind us would scream and we Deaf people can not hear back.
fs-JOHN FUTURE BUY HOW-MANY BOOK part:indef 	How many books will John buy?
POSS-1p FRIEND IX-1p-pl-2:1p/k TAKE-OFF PAST fs-WEEKEND 	My friend and I went last weekend.
#THEN FUTURE FIND #OUT IF IX-1p DEAF 	Then will find out if I am Deaf.
IX-3p-pl-2:j/x MARRY 	They married.
DEAF DRIVE SPEED CL:1"meter speeding up" 	Deaf is driving and start to speed up.
ARRIVE IX-3p:j WOOD HOUSE 	He arrived to wood house.
#SO part:indef REALLY part:indef REALLY cl:5 "list"++ IX-3p:i REALLY ADMIT ns-MEXICO FOOD BETTER IN ns-LA part:indef 	So, I have to admit that Mexican food in LA is better.
IX-3p:i DEER 	There was a deer.
REALLY OTHER THAN WEATHER cl:5 "list" IX-1p CAN TALK ABOUT cl:5 "that area" fs-BOSTON CULTURE AND ns-LA CULTURE 	Other than weather, we can also talk about cultures in Boston and LA.
fs-JOHN NEED MORE INFORMATION FUTURE READ+ BOOK THUMB-IX-3p:i 	If John needs more information, he will read the book.
CL:5"walking by the tree" CL:5"walking by the tree" CL:5"walking by the tree" PATH (2h)CL:5"walking into a house" 	A person walking through the forest, and there is a path to house. 
BCL:"putting the cover on" ICL:"nailing" ICL:"nailing" ICL:"nailing" ICL:"nailing" "whew" 	Put the cover back on and nailing each corner.
CL:S"banging the objects"+ WHEN IX-1p SLEEP 	Banging them when I was sleeping.
TEACHER LIKE BOOK BUT NOT MOVIE 	The teacher likes books but not movies.
IX-1p LOSE IX-1p CAN-NOT FIND BOAT 	I get lost and can not find the boat.
REALLY COP WHY ARREST IX-1p part:indef 	Why would cop arrest me?
FINISH TEACHER neu:GIVE:j BOOK STUDENT IX-loc-arc 	Has the teacher already given books to the students?
fs-MARY fs-BILL SAY fs-JOHN LOVE:j 	As for Mary, Bill says John loves (her).
IX-1p DRIVE++ START FROM TO fs-SF VISIT GOOD FRIEND fs-OF POSS-1p 	I drove from LA up to SF to visit a good friend of mine.
REALLY AFTER TOTAL TRIP YES TRIP SIX-DAY TOTAL 	After my trip, it was six days total.  
IX-3p-arc HAVE LEADER 	We have a leader who sit behind us.
ICL:S"holding carrier from the top" WOMAN LOOK-AT:t NOT POSS-1p #DOG IX-3p:t 	The woman looked at the dog and said, "Oh! But that's not my dog!"
PEOPLE CLASS:i (2h)alt.i:GIFT++:j fs-JANA TOY 	People are giving Jana toys.
part:indef IX-1p DRIVE++ HOPE OUT fs-NEVADA fs-SO NOT FEEL TEMPT++ AGAIN TO GAMBLE WHY IX-1p-pl-arc LOSE A-LITTLE MONEY BUT UNKNOWN 	I hope to get out of Nevada so that way I wont feel tempt to play gamble again.  Because, I lost a little money from gambling.  
IX-3p:i DEAF IX-loc:i DRIVE part:indef IX-1p HEAR part:indef 	Deaf person in the car said, "I can't hear."
MOTHER FUTURE BUY HOUSE 	Will mother buy a house?
GET-INTO+ (2h)LCL:C"limo going up mountain" ARRIVE SKI++ fs-RESORT BEAUTIFUL PLACE FAMOUS PEOPLE PCL:bent-B-Lwg"people flocking to there++" 	It drove up the mountain and arrived at the ski resort. It was a beautiful place where many famous people go.
DEAF MAN ONE DRIVE+ 	There is a Deaf man who is driving.
MOTHER FUTURE BUY HOUSE 	Mother will buy a house.
part:indef fs-K SPELL LONG-TERM WORD IX-3p:i RIVER 	The river named start with "K", I don't know how to spell because its long word.
IX-1p part:indef IX-3p:i CL:S"pulling person out" IX-1p IN ON BOAT 	They pulled me into the boat.
IX-3p:i POSS-3p:j FATHER CAR QMwg 	Is that John's father's car?
HIT IX-1p TWICE WITH NIGHT fs-STICK CL:S"punching to person's face"+ 	They hitted me twice with the night stick.
UP-TO-NOW MOTORCYCLE STEAL+ PLUS IX-3p:i CRASH UNKNOWN 	Since when his motorcycles stole, and plus crashed.
fs-JOHN BUY CAR SHOULD 	John should buy a car.
IX-3p:i DO VIDEOTAPE HIMSELF IX-3p:i cl:5 "biker riding on one wheel" #MPH IX-3p:i CRAZY part:indef 	He did videotaping himself with motorcycle on one wheel, he was crazy.
IX-3p:i WHERE UNKNOWN UNKNOWN 	While Deaf person is driving, they both were gesturing to each other.
fs-WHEN IX-3p:i THREE-YEAR-OLD HALF FOUR-YEAR-OLD IX-3p:i 	When she was three and half or four years old.
PIG LOOK #OK WARN part:indef ONE TWO THREE 	A wolf look at pig and said, "Ok, I warned you, one two three"
IX-1p GO FOR STEAK IX-1p KISS STEAK  IX-1p GRAB EAT 	I decided to go for steak.  I love steak myself so I thought why not eat steak.
GRASS HOUSE 	It becomes  a grass house.
FINE+++++ ICL:"take money from pocket" ICL:"peeling off bills"++++ 	The sky cap reluctantly accepted the price and paid out the $300.
DARK IX-1p (2h)CL:5"head lights on" 	I turned the headlight on when it s getting dark..
IX-1p PLAN PUT IN POSS-1p IN #CAR 	I plan to take myself in the car.
IX-1p-arc DEAF GO TO MAINE fs-MAINE IX-3p:i WATER WHITE WATER BOAT 	We, Deafies, went to Maine for White water rafting.
TEACHER NOT LIKE MOVIE 	The teacher does not like movies.
TEACHER GIFT-distributive-3p-pl-arc BOOK STUDENT 	The teacher gave each student a book.
TEACHER FINISH READ MAGAZINE FUTURE READ BOOK 	When the teacher finishes reading the magazine, she will read a book.
NEXT SAME part:indef START SUMMER part:indef POSS-1p fs-VERY fs-HUMID HERE 	Other thing, in summer, its very humidy here.
IX-1p THINK REGULAR DOCTOR #OR MAYBE #EVEN NURSE CAN DO #IT part:indef SAME IX-1p #OR DOCTOR ASSISTANT part:indef #EVEN MAYBE 	I thought some regular doctor, nurse or even doctor's assistant would do it.
IX-1p RELIEF IMPORTANT NONE ONE SEE IX-1p NAH 	I was relief, its important that nobody see me.
fs-JOHN BUY WHAT YESTERDAY BOOK+ 	What did John buy yesterday?  Some books.
fs-JOHN CAN BUY HOUSE 	John can buy a house.
REALLY IX-3p FAST fs-EXPRESS CARE EMERGENCY HOSPITAL AREA 	I was in express care area in the hospital where it is for emergency only.
part:indef WOMAN part:indef ARRIVE HERE 	Well, some woman arrived.
FATHER BUY THAT:i BOOK (25)WHY 	Why did father buy that book?
SAY KNOW IX-3p:i REALLY POSS-3p:i HEARING NOT DEAF 	She said,"Know what? Hes really hearing, not Deaf."
WOMAN !ALL-RIGHT! 	The woman replied, "All right," and left.
UNKNOWN IX-3p:i SAY FINALLY UNKNOWN FINE READY++ SET-UP++ UNKNOWN 	He said finally. Then, He got things ready.
FATHER FUTURE LIKE THAT:i BOOK IX-loc:i 	Father will like that book.
TEACHER LIKE MOVIE BUT STUDENT IX-3p-pl-arc NOT 	The teacher likes movies, but the students don't.
TEACHER BOOK+ GIFT-3p-pl-arc 	The teacher gave out the BOOKS.
BRING IX-1p HOME THAT FIRST UMM FIRST NIGHT 	Brought me home on that first night.
IX-1p "hoping"++ 	I crossed my fingers.
IX-1p AFTER IX-1p FINISH fs-CSUN PAST SEMESTER 	I was completed last semester at CSUN. 
IX-1p IX-2p HAPPY NOW IX-3p:i SAY "no" NOT DO AGAIN "no" 	I gave and asked if she is happy now.  She said, "Don't do it again"
SAME CL:5"dream" IX-3p:i STILL BOXING REALLY STILL THINK IN #RING 	He dreamed that he was still boxing, thought hes in ring.
IN ONE SIDE OF IX-1p FEEL SAME CL:1"walking to person" HIT COP 	In one side of me, I want to hit the cop.
fs-DANA STILL UPSET THAT IX-1p NOT DEAF NOT DEAF IX-3p:i part:indef 	Dana was still upset that I am not Deaf.
OVER COUNTRY DRIVE++ part:indef BORE part:indef DRIVE+ 	I drove across the country.  I started to feel bored while driving.
MOTHER FUTURE READ THAT:i BOOK IX-3p:i QMwg 	Will mother read that book?
IX-3p:i HEARING LOOK WOW LUCKY IX-3p:i 	Hearing person looked and thought, "wow, he is lucky!"
REALLY EVERYTHING FINE IX-3p:i GIRL WORRY UNKNOWN 	Everything is fine and the girl was worrying.
CL:3"vehicle fall" SPIN++ CL:3"vehicle" SPIN++ CL:3"vehicle" 	The car was spinning.
SAY "wave" IX-1p KNOW IX-3p:i IX-1p KNOW ns-MIKE IX-3p:i 	They waved and said "I know him, I know Mike!".
IX-1p LOOK BAD AND PLUS IX-1p part:indef 	I will look bad and plus I
HAVE DEAF BROTHER 	You have a Deaf brother.
ALL-MORNING NOONISH (2h)alt.PACK+++ fs-LIMO (2h)LCL:C"limo moving" GET-IN (2h)LCL:C"limo moving" ARRIVE 	That was in the morning.  Around noon, we packed.  The limo came, I got in and went back (to the airport).
REPORTER SAY REALLY TRUE-BUSINESS REALLY fs-MUHAMMAD fs-ALI FUTURE STAND-UP PUNCH+ AT PEOPLE 	The reporter said, "Really, Muhammad Ali would stand up and punching at people?"
CL:5"grabbing the arm" GRAB 	They grabbed my arm.
TIME-PASSING GET-IN #BUS (2h)LCL:C"moving bus" ARRIVE ns-SAN-FRANCISCO+ SOCIALIZE 	He took a bus, finally arriving in San Francisco.  He (met people and) mingled.
IX-1p SAY part:indef UP-TO-NOW IX-3p:i part:indef IX-3p:i fs-PAUL KNOW IX-3p:i POSS-1p GOOD FRIEND 	I sent because Paul is my good friend.
fs-JOHN FUTURE VISIT fs-MARY 	John will visit Mary.
TEACHER BUY HOUSE YESTERDAY QMwg 	Did the teacher buy a house yesterday?
ICL:"heart beating in the hand" 	A person was holding heart while carrying dead person.
IX-1p LOOK TRUE-BUSINESS SO IX-3p-arc MUST WAIT FOR THAT COP ARRIVE 	I looked at him and asked if we have to wait for a cop to arrive?
BOOK STUDENT IX-loc:arc (2h)alt.neu:GIFT++:j IX-3p:j TEACHER IX-loc:j 	The students gave their books to the teacher.
CL:1"person walking" IX-3p:i TEND IX-2p:i CHARACTER LAZY GOOD-ENOUGH++ 	That pig's character tend to be lazy.
TEACHER IN HOUSE IX-loc:i QMwg 	Is the teacher in that house?
ICL:1"wrapping the object" BUILD HOUSE BUILD HOUSE 	Building a house.
HAVE UNDERSTAND BOTH FRONT MUST HEARING 	There was eight of us, two people in front have to be hearing.
SIT ON fs-RAFT RAFT 	We sat on the raft.
WARN IX-2p:i IX-1p TAKE-OVER EAT CL:5"eating the whole thing" FUTURE 	"I warn you, get out or else, I will take over and eat you!," Wolf said.
STUDENT BUY+ MANY BOOK part:indef 	Did the student buy many books?
fs-JOHN:i POSS-3p:i FRIEND:j (1h)HAVE CANDY 	John's friend has candy.
IX-1p HOPE IX-3p:i NOT BECOME fs-DRY DRY TRUE-BUSINESS UNKNOWN UNKNOWN FINE IX-1p WAIT++ 	I hope my finger didnt get dry however, I was still waiting.
THAT DEAF PEOPLE IX-3p-arc HAVE DIFFERENT++ 	The deaf community has a wide variety of performance genres, 
COP SAY part:indef IX-1p SEE #IT CLEAR UNKNOWN 	CThe cop said, "I saw it very clear."
LOOK FINALLY ADMIT 	He was looking and then finally, he was willing
#BUS CL:5"vehicle motion" ARRIVE IX-1p-arc CL:3"sitting on"++ AFTER EAT MORNING 	We went in the bus after breakfast.
fs-JOHN neu:GIVE-indef:j IX-loc:j SOMETHING/ONE WOMAN BOOK 	John gave some woman over there a book.
ENTER LOOK-AT PERFECT FACE (2h)SAME (2h)alt.FUR+ BLACK DCL:G"stripes" MUZZLE "clap-hands" 	he went into the store to look at the dog.  The dog they had was perfect -- he looked just like the dead dog.
IX-3p:i fs-JOHN READ+ NOT-YET 	(Hah!) John hasn't read (it) yet.
IX-3p WIFE COOK CL:L"setting up the objects"++ READY CL:3"sitting around" CHAT++ 	His wife cooked and get things ready for dinner.  They sat down and chatting.
ICL:"pick up dog and put in carrier" CLOSE-DOOR MUZZLE DCL:"stripes" BPCL:H"tongue wagging" 	He put the new dog in the carrier and shut the door.  There it sat with its tongue hanging out.
HAVE fs-ROPE CL:S"size of the object" 	We had rope with us when we went up.
TEACHER WANT IX-3p:i READ A-LOT BOOK+ 	The teacher wants him to read a lot of books.
DRIVE+ BORE IX-1p DRIVE DO 	I was driving and feel bored. So, I figured out what should I do while I am driving.
IX-3p-pl-2:z/w MARRY 	The two of them married.
STUDENT IX-loc:i POSS-3p:i FATHERwg BUY HOUSE 	It's that student's father that is buying a house. 
(1h)HAVE "clap-hands" GET-IN ICL:S"driving urgently" ARRIVE 	He was told the dog matched! So, he got into his car right away and drove all the way to the store.  When he arrived
FIVE IX-1p STILL YET GET STITCH SAME IX-1p part:indef 	I still have not get my finger stitches yet.
ONE #OF POSS-1p WORSE EXPERIENCE 	One of my worst experience.
1p:CALL:n EXPLAIN (1h)HAVE IX-3p:n NONE 	So, he called a pet store and explained the situation, but they had none.
WHO TELL:i fs-BILL:i part:indef fs-MARY 	Who told Bill? Mary did.
FATHER FUTURE LIKE THAT:i BOOK IX-loc:i 	Father will like that book there.
ONE NIGHT UNKNOWN IX-3p-arc CL:3"going up" REALLY LIVE ON 	We decided to go up at one night. We live on second floor.
IX-1p LOOK IX-1p TRUST YOUNG DOCTOR IX-1p PREFER OLDER BUT IX-1p UNKNOWN FINE 	I would rather to have an older doctor, because I don't know if I could trust young doctors.  But that is fine.
LCL:1"path of suitcases" (B-L)NOTHING DCL:"pet carrier" DOOR #DOG PUT CLOSE-DOOR (B-L)NOTHING 	But the pet carrier with the dog in it wasn't on the carousel.
#SO IX-3p:i REALLY SHOT++ FEW TIME SHOT++ IX-1p 	So he shot all over my hand few times.
IX-1p LOOK "ohh" IX-1p LOOK CL:L"holding remote" BOXING 	I said oh, then watched boxing on TV.
MOTHER (V)FUTURE READ BOOK+ QMwg 	Will mother read the book?
part:indef #SO IX-1p cl:3 "car pulling over" PAY-PHONE fs-TONY POSS-3p BOSS 	So I pulled over the car and Tony called his boss on pay phone.
IX-1p THINK BECAUSE ns-LA #SO BIG SAME IX-loc:i MAYBE NOT-CARE ABOUT POSS-3p:i COMMUNITY MORE SAME IX-1p-arc fs-DO 	I think its probably because LA is big so they didnt really care about the community as much as we do.
part:indef IX-3p:i DECIDE #TO DO SOMETHING ELSE 	She decided to do something else.
POSS-3p:i NEW CAR 	His/her new car.
STUDENT FUTURE BUY POSS-3p:i MOTHER+ CAR 	The student will buy his/her mother's car.
FIND "palms up" 	"You can come pick it up, ok?"
GRANDMOTHER IX-3p:x TWO (1h)CHILDREN DECIDE MOVE-AWAY-TO ns-AMERICA 	Great grandmother and the two children decided to move to America.
KNOW WHEN RIGHT TIME STOP BCL:S"rowing"+ 	They will know when is right time to stop rowing.
REALLY IX-1p KNOW SURE IX-2p-arc WHO LIVE IN DORM PAST CL:5"vomiting" #RA BUT UNKNOWN ANYWAY 	Really, I know, I am sure you guys who lived in the dorm, you hate your RAs. 
AFTER IX-3p:i STORY IX-3p:i fs-MUHAMMAD fs-ALI POSS-1p FAVORITE BOXING FINISH 	After I watched that story, Muhammad Ali is my favorite boxing.
CL:S"holding the wheel" WOW BPCL:F"eyes moving" 	I felt wow, and was holding the wheel.  I looked over.
REALLY UP-TO-NOW part:indef MAYBE WANT KNOW WHY 	Really, maybe you want to know why.
REAL BPCL:2"stand on stage" LECTURE TO AUDIENCE 	that's actually a stage presentation which is
CL:1"meter speeding up" NINETY CL:F"eyes moving" WOW 	The car is speeding up to 90s.  Hearing person looked at the meter and thought wow.
IX-1p CL:3"sitting on"++ IX-1p UNKNOWN 	I got back to sit down.
FATHER MUST BUY BOOK IX-loc:i (25)WHY 	Why does father have to buy that book there?
YESTERDAY STUDENT BUY CAR 	The student bought a car yesterday.
SUNRISE WHAT THAT SCL:5"house shaking" 	When Sunrise comes, "what was that when house shaked?" a person wondering.
CL:5"etc" FINISH CL:2"sitting on" ON fs-RAFT AGAIN 	We went to sit on the raft again.
LOOK SEE WOLF 	Looked up and saw wolf was looking down.
IX-1p TELL BOSS part:indef IX-1p MUST GO IX-3p:i NEED STITCH	I told my boss that I have to go to hospital because I need stitches.
fs-JOHN NOT-YET FINISH READ BOOK 	John has not yet finished reading the book.
IX-3p:i POSS-3p:j JOHN FATHER CAR 	Is that John's father's car?
TRUE-ENOUGH IX-3p:i COP (2h)CL:3"two vehicles" 	A cop followed the car.
STUDENT BOOK (2h)alt.GIVE-recip++ 	The students exchanged books.
CL:4"back in the car fell" IX-1p part:indef POSS-1p FRIEND IX-3p CL:3 "car following other car" IX-1p "wave" CL:3"cars pulling over" 	My friends were driving in front of me whom I was following.  I had to get their attention by waving to pull the car over.
ON THIRD FLOOR IX-1p CL:S"pressing the object" 	I went up to third floor and pressed the doorbell.
FOR CONFUSE REALLY IX-1p FEEL MANY DIFFERENT THING AT ONCE IX-1p part:indef 	For confusion, really I felt many different things at once.
IX-1p-pl-2:x/y CUT fs-WOOD fs-CUTTER SAME cl:5 "size of the object" WITH METAL CORNER 	We cut the woods through metal corner.
REALLY MANY CAMP CL:5"locations" SET-UP++ 	There was many camps all over that is already set up.
HALF MOST EXPENSIVE SHIRT HERE IN fs-BOSTON MAYBE DOLLAR IX-1p NOT-KNOW IX-1p NOT BUY EXPENSIVE SHIRT POSS-1p fs-BUT 	I would say the most expensive shirt here in boston is up to maybe 100 to 150 dollars.  But, I dont know because I dont buy expensive shirts.
CL:5"size of the object" GRASS LOOK DELICIOUS 	Theres bunch of grass over there that looks delicious!
STUDENT READ+ HOW-MANY BOOK 	How many books did the student read?
FATHER LIKE fs-JOHN HOUSE LIKE POSS-3p:j CAR #NO NOT 	Father likes John's house, but does he like John's car? No, he doesn't.
fs-JOHN FUTURE neu:GIVE:j CHOCOLATE MOTHERwg IX-3p:j 	John will give chocolate to mother.
IX-1p WRAP WITH RUBBER WRAP-AROUND IX-1p WALK IN SHOWER 	I wrapped around my hand with rubber band and walked into the shower.
REALLY EXPECT MANY IX-3p-arc FALL 	He expected for us all to fall.
part:indef IX-1p SEE PRICE fs-TAG IX-1p DOLLAR DOLLAR FOR REALLY part:indef 	I decided to check the price, its 350 dollars.  Really, 350 dollars for a shirt!
BUT ANYWAY THAT part:indef FRIEND SAY part:indef ALRIGHT 	But anyway, my friend told me its allright.
IX-3p:i HEARING #OK FINE (2h)CL:3"seat switch" 	Hearing person said, "Ok, thats fine." They switched the seats.
THREE MOTHER CARE 	A mother take care of three pigs.
LOOK SCARE GET-UP RUN 	He looked and got scared.  He got up and ran away.
fs-JOHN LIKE CHOCOLATE 	John likes chocolate.
NOW IX-1p LOOK TRUE-BUSINESS IX-2p CALL COP ON IX-3p-arc 	I looked at him and asked if he did call a cop on us.
fs-JOHN FINISH READ BOOK #WHEN 	When did John finish reading the book?
FATHER LIKE fs-JOHN POSS-3p:i HOUSE NOT LIKE POSS-3p:i CAR 	Father likes John's house but doesn't like his car.                                                  
WOLF SMELL PIG DELICIOUS WHERE 	A wolf could smell pigs. "Delicious! Wondering where they are?," Wolf thought.
DEER CL:5"chewing" GRASS 	A deer was eating the grass.
GET SCISSOR STRING METAL REALLY IX-1p LOOK METAL THICK STRING IX-1p LOOK "wow" 	He got scissor, strings and metal.  When I was looking at the metal, its really thick string, wow!
IX-1p UNKNOWN NOTICE LEAVE CHANGE COLOR SOME START #TO FALL++ REALLY GREEN GRASS GREEN PERFECT 	I would notice once when the leaves change color, and some start to fall off and grass is really green.  
IX-1p TAKE IX-3p:i HOSPITAL NOW 	I will take him to the hospital now.
fs-JOHN BUY CAR YESTERDAY GIFT:j MOTHER 	John bought a car yesterday and gave it to (his) mother.
SAME FOOD SHOPPING BREAD cl:5 "size of the object" REALLY THREE FOUR THREE FOUR WHILE HERE 1.50 TWO part:indef AND BIGGER SIZE THAN THREE FOUR cl:5 "size of the object" 	Same idea for food shopping, a bread cost 3 or 4 bucks while here in Boston its only 1.50 to two dollars and it is even bigger size than in LA.
fs-JOHN PREFER GO MOVIE TOMORROW 	John prefers to go to a movie tomorrow.
COP LOOK part:indef IX-3p:i fs-DRUGS DRUG 	The cop looked at him and said, "he took drugs."
STUDENT UP-TO-NOW FINISH READ+ HOW-MANY BOOK+ part:indef 	How many books have the students finished reading so far?
IX-1p LOOK part:indef FINE IX-1p WAIT++ 	I had to wait for a while again.
SAY ONLY FIVE FIVE-MINUTE WALK NOTHING 	I can say its only five minutes walk which is nothing.
IX-3p:i HAVE BOOK 	He/she over there has a book.
fs-JOHN POSS-3p:i CAR IX-1p NEVER SEE:j 	As for John's car, I've never seen (it).
FRIDAY SCL:I-L-Y"airplane take-off^fly" SCL:I-L-Y"airplane lands" (5)WOW fs-LIMO (2h)LCL:C"limo arriving" PICK fs-UP (5)WOW 	We flew there Friday.  Wow!  A limo arrived to pick us up.  Wow!
IX-2p:i FINISH READ+ MAGAZINE (L)FUTURE READ BOOK 	When you finish reading the magazine, you will read a book.
REALLY LIVE IX-1p 	One girl lived right next to me.
fs-JOHN NOW neu:GIVE:j MOTHER CHOCOLATE 	John has just given (his) mother chocolate.
fs-ALI SIT "shake" STAND-UP UNKNOWN "punching"++ 	Ali was sitting and then he got stand up and start to punching.
IX-3p-arc CAN RAIN EVERYDAY AND STILL LIVE THROUGH #IT FINE 	We will survive through rain so it can rain everyday.
IX-2p:i WANT TEA COFFEE part:indef 	Do you want tea or coffee?
UNKNOWN IX-1p DRIVE FROM TO CL:B"across the land" 	I drove from SF to across the country.
fs-DANA SAY part:indef SAY CAN ASK DOCTOR 	Dana said,"then can I ask doctor?"
DEAF DRIVE++ AGAIN SPEED 	Deaf person continued driving and started to speed up again.
BUT part:indef NOT DECORATE HARD AVERAGE IX-3p:j part:indef 	He is an average, but not kind of person who would like to decorate a lot.
POSS-1p MOTHER SAY part:indef SEE++ part:indef 	My mother said "we will see."
IN CLOSE-BY MAINE TWENTY MINUTES FROM WHERE IX-3p-arc CAMP CL:5"location" 	It was close by, twenty minutes away from our camp ground.
DEER CL:5"person looking at" LOOK LOOK AHEAD CL:2"four legs walking" ACROSS 	A deer looked at me and then walk across the road.
DRIVE+ CL:1"long distance" 	He drove for a long time.
KNOW SIT WHEN EAT HAVE fs-TRAY CL:1"shape of the object" WITH fs-BIB CL:1"shape of the object" 	You know when we have to sit down and eat, there is tray in front of me with bib on.
ICL:"getting object" ICL:"removing the nail" ICL:"removing the nail" ICL:"removing the nail" ICL:"removing the nail" 	A person get hammer to remove each nail at four corners.
AND SAME UNKNOWN SAME ELEVEN NIGHT EVERYTHING CLOSE IX-1p part:indef MUST FIND PLACE STAY AND FIX TOMORROW MORNING UNKNOWN 	And, its like 11 o'clock at night time, every place were closed.  I have to find place to stay over and have car fixed tomorrow morning. 
IX-1p LOOK MIND IX-1p FUTURE BOXING 	I would not mind to boxing someday in the future.
(2h)PERFECT (2h)SAME GOOD SIZE (2h)IX:3p:x/y 	It was perfect because its same size in both sides.
